State,Description,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Montana,Per capita personal income (dollars) 2/,20159,21494,21830,23094,23985,24526,26077,27922,29785,31912,33914,35253,34260,35896,38180,40319,40176,41901,43627,44024,46199,48194,49747
Montana,Personal consumption expenditures (USD/Capita),17599,18528,19642,20854,21902,23074,24259,25744,27429,29078,30901,31941,31205,32057,33433,34683,35368,36296,37457,38178,39415,41049,42399
Montana,Goods (USD/Capita),6920,7181,7690,8152,8479,9006,9515,10242,10927,11750,12705,13079,12079,12421,12966,13361,13467,13837,13709,13578,13804,14315,14534
Montana,Durable goods (USD/Capita),2537,2696,2914,3119,3310,3644,3912,4210,4386,4607,4936,4762,4340,4420,4496,4660,4898,5137,5290,5347,5432,5598,5703
Montana,Motor vehicles and parts (USD/Capita),1071,1131,1224,1275,1377,1478,1490,1514,1482,1457,1520,1338,1279,1401,1442,1565,1632,1700,1756,1728,1759,1802,1808
Montana,Furnishings and durable household equipment (USD/Capita),533,560,609,656,703,790,857,961,1048,1118,1209,1174,1012,987,974,1005,1045,1087,1129,1160,1172,1221,1274
Montana,Recreational goods and vehicles (USD/Capita),639,690,739,812,848,961,1106,1232,1329,1444,1548,1553,1373,1344,1382,1391,1530,1649,1697,1764,1817,1880,1929
Montana,Other durable goods (USD/Capita),292,313,341,375,380,413,458,502,526,588,658,696,674,687,697,698,690,699,706,694,681,693,691
Montana,Nondurable goods (USD/Capita),4382,4485,4776,5033,5169,5361,5602,6031,6540,7142,7768,8316,7739,8001,8470,8701,8568,8700,8418,8231,8372,8716,8830
Montana,Food and beverages purchased for off-premises consumption (USD/Capita),1834,1919,1973,1981,2017,2103,2230,2343,2462,2633,2840,2950,2945,2933,3049,3148,3152,3279,3327,3301,3327,3449,3506
Montana,Clothing and footwear (USD/Capita),636,630,659,669,680,705,734,766,796,827,853,839,807,835,855,872,874,894,906,914,908,904,904
Montana,Gasoline and other energy goods (USD/Capita),606,554,647,827,853,824,814,1018,1285,1496,1733,2114,1530,1726,2011,2066,1899,1795,1338,1128,1211,1330,1243
Montana,Other nondurable goods (USD/Capita),1305,1380,1495,1555,1617,1727,1822,1903,1996,2185,2341,2412,2455,2506,2553,2613,2642,2730,2846,2886,2924,3032,3176
Montana,Services (USD/Capita),10679,11347,11951,12701,13423,14068,14744,15501,16502,17327,18196,18862,19126,19635,20466,21321,21900,22459,23748,24599,25611,26733,27865
Montana,Household consumption expenditures (for services) (USD/Capita),10174,10783,11330,12044,12729,13297,13916,14722,15752,16482,17346,17869,18079,18562,19303,20050,20615,21151,22381,23152,24086,25175,26289
Montana,Housing and utilities (USD/Capita),2936,3070,3236,3429,3673,3770,3903,4141,4519,4721,4885,4945,4970,4979,5196,5437,5579,5711,5995,6151,6447,6676,7000
Montana,Health care (USD/Capita),2451,2636,2833,3015,3313,3562,3733,3927,4204,4354,4663,4938,5238,5430,5649,5871,6077,6206,6704,7032,7305,7562,7930
Montana,Transportation services (USD/Capita),494,520,573,612,634,624,677,682,705,735,782,783,724,733,790,819,850,898,930,944,962,1006,1029
Montana,Recreation services (USD/Capita),599,607,607,659,660,684,729,781,826,892,968,994,1020,1057,1078,1124,1152,1190,1246,1292,1317,1400,1450
Montana,Food services and accommodations (USD/Capita),1294,1336,1386,1482,1515,1604,1689,1790,1902,2015,2137,2198,2165,2197,2301,2419,2527,2625,2781,2840,2903,3009,3088
Montana,Financial services and insurance (USD/Capita),1044,1142,1253,1392,1340,1366,1448,1591,1724,1803,1930,2023,1930,2067,2200,2275,2345,2431,2559,2675,2865,3075,3244
Montana,Other services (USD/Capita),1353,1468,1437,1452,1592,1683,1734,1807,1869,1959,1978,1984,2030,2097,2086,2102,2082,2086,2163,2215,2284,2444,2545
Montana,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),504,563,621,657,693,771,827,779,749,844,849,992,1047,1072,1163,1271,1284,1307,1367,1446,1524,1557,1575
Montana,Gross output of nonprofit institutions (USD/Capita),1821,1956,2054,2126,2225,2417,2467,2484,2538,2755,2850,3069,3265,3398,3577,3806,3879,4005,4209,4394,4586,4748,4944
Montana,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1317,1392,1432,1469,1531,1646,1639,1705,1788,1910,2000,2077,2218,2325,2414,2534,2594,2698,2842,2947,3062,3191,3368
Nebraska,Personal income (millions of dollars),42017,44860,46968,49735,51961,52767,56024,58602,60790,63584,68466,72259,71173,74864,83613,86293,86913,91999,95935,94547,97032,101845,105454
Nebraska,Population (persons) 1/,1686418,1695816,1704764,1713820,1719836,1728292,1738643,1749370,1761497,1772693,1783440,1796378,1812683,1829542,1840672,1853303,1865279,1879321,1891277,1905616,1915947,1925614,1934408
Nebraska,Per capita personal income (dollars) 2/,24915,26454,27552,29020,30213,30532,32223,33499,34510,35869,38390,40225,39264,40920,45426,46562,46596,48953,50725,49615,50645,52890,54515
Nebraska,Personal consumption expenditures (USD/Capita),19121,20006,21182,22607,23570,24195,25424,27032,28497,29708,30963,31942,31399,32523,33794,34781,35452,36326,37183,38350,39626,40893,41789
Nebraska,Goods (USD/Capita),7324,7533,8063,8424,8647,8690,9081,9826,10330,10769,11313,11502,10883,11500,12110,12479,12627,12769,12602,12707,12980,13325,13453
Nebraska,Durable goods (USD/Capita),2811,2954,3156,3206,3291,3388,3444,3660,3741,3781,3908,3717,3594,3809,3874,4062,4188,4295,4439,4499,4579,4712,4826
Nebraska,Motor vehicles and parts (USD/Capita),1134,1223,1355,1363,1489,1564,1547,1573,1492,1420,1490,1365,1354,1509,1586,1695,1705,1750,1814,1787,1808,1827,1808
Nebraska,Furnishings and durable household equipment (USD/Capita),779,783,793,804,797,787,800,873,922,929,907,883,842,864,828,874,915,954,1002,1046,1088,1158,1220
Nebraska,Recreational goods and vehicles (USD/Capita),525,551,597,614,597,622,660,743,825,888,938,904,846,854,861,887,946,950,982,1022,1050,1083,1146
Nebraska,Other durable goods (USD/Capita),372,395,409,423,407,412,435,470,500,543,571,563,551,581,598,604,620,640,639,643,632,642,651
Nebraska,Nondurable goods (USD/Capita),4512,4579,4906,5217,5355,5302,5637,6165,6589,6987,7405,7785,7289,7691,8236,8416,8438,8474,8163,8208,8401,8613,8626
Nebraska,Food and beverages purchased for off-premises consumption (USD/Capita),1690,1727,1812,1863,1913,1897,1945,2091,2163,2234,2372,2467,2453,2439,2496,2551,2569,2702,2782,2833,2886,2914,2908
Nebraska,Clothing and footwear (USD/Capita),775,794,815,835,828,808,826,854,875,874,883,871,859,880,907,915,917,945,958,966,968,980,979
Nebraska,Gasoline and other energy goods (USD/Capita),669,603,680,838,834,791,965,1174,1418,1607,1768,2020,1494,1777,2173,2189,2106,1923,1420,1285,1373,1523,1446
Nebraska,Other nondurable goods (USD/Capita),1376,1453,1598,1680,1779,1805,1900,2045,2131,2271,2380,2425,2482,2593,2659,2760,2846,2902,3001,3122,3172,3195,3293
Nebraska,Services (USD/Capita),11796,12473,13118,14182,14923,15505,16342,17206,18166,18938,19649,20439,20515,21022,21683,22302,22824,23557,24580,25642,26645,27567,28335
Nebraska,Household consumption expenditures (for services) (USD/Capita),11413,11972,12603,13604,14293,14808,15597,16452,17436,18168,18900,19559,19575,20065,20663,21151,21645,22341,23335,24304,25251,26150,26911
Nebraska,Housing and utilities (USD/Capita),3043,3164,3299,3522,3810,3859,3988,4155,4492,4683,4843,4949,4967,4963,5088,5172,5392,5608,5822,6006,6241,6497,6759
Nebraska,Health care (USD/Capita),2578,2731,2866,3129,3475,3770,4081,4362,4701,4926,5105,5388,5502,5732,5902,6035,6060,6204,6579,6938,7199,7349,7517
Nebraska,Transportation services (USD/Capita),548,597,635,671,706,694,709,738,763,777,808,836,816,848,889,910,941,988,1014,1029,1038,1081,1098
Nebraska,Recreation services (USD/Capita),829,805,822,877,912,941,987,1010,1031,1100,1146,1180,1233,1241,1242,1296,1345,1390,1447,1521,1594,1622,1652
Nebraska,Food services and accommodations (USD/Capita),1134,1178,1247,1322,1331,1346,1413,1504,1577,1645,1709,1748,1747,1776,1831,1905,2005,2081,2209,2302,2340,2406,2447
Nebraska,Financial services and insurance (USD/Capita),1501,1681,1875,2143,2050,2117,2210,2422,2562,2642,2792,2942,2817,3013,3199,3340,3409,3524,3652,3812,4064,4302,4451
Nebraska,Other services (USD/Capita),1777,1814,1857,1936,2007,2079,2206,2258,2306,2393,2493,2513,2490,2489,2509,2489,2490,2543,2608,2693,2772,2891,2983
Nebraska,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),383,500,515,578,629,696,744,754,730,770,749,879,939,957,1019,1150,1179,1215,1245,1338,1394,1416,1424
Nebraska,Gross output of nonprofit institutions (USD/Capita),1821,1996,2046,2176,2314,2517,2576,2700,2805,2940,2942,3141,3317,3440,3572,3799,3891,3978,4184,4443,4641,4625,4832
Nebraska,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1437,1496,1531,1598,1685,1820,1831,1945,2074,2170,2192,2261,2378,2483,2552,2649,2712,2763,2938,3105,3247,3208,3408
Nevada,Personal income (millions of dollars),48572,54281,58607,64339,67862,69626,74202,82501,92671,100383,104564,102785,96858,100605,104579,108825,109055,116945,127046,132315,141515,151367,157583
Nevada,Population (persons) 1/,1764104,1853191,1934718,2018741,2098399,2173791,2248850,2346222,2432143,2522658,2601072,2653630,2684665,2702405,2712730,2743996,2775970,2817628,2866939,2917563,2969905,3027341,3080156
Nevada,Per capita personal income (dollars) 2/,27534,29291,30292,31871,32340,32030,32996,35163,38103,39793,40201,38734,36078,37228,38551,39659,39285,41505,44314,45351,47650,50000,51161
Nevada,Personal consumption expenditures (USD/Capita),20375,21014,22544,23853,24538,25368,26467,28218,30251,32086,33209,33548,32413,33150,34496,35307,36247,37655,38714,39754,41008,42367,43166
Nevada,Goods (USD/Capita),7839,7977,8654,9051,9329,9430,9909,10716,11463,12003,11987,11618,10441,10648,11246,11533,11951,12451,12627,12812,13298,13787,14136
Nevada,Durable goods (USD/Capita),2865,3029,3312,3466,3630,3751,3907,4276,4606,4639,4499,3965,3375,3397,3564,3722,3967,4155,4306,4433,4615,4849,4996
Nevada,Motor vehicles and parts (USD/Capita),1084,1155,1262,1294,1383,1444,1424,1544,1601,1536,1477,1148,917,944,1012,1148,1236,1282,1371,1376,1410,1447,1417
Nevada,Furnishings and durable household equipment (USD/Capita),704,726,799,863,886,943,993,1097,1210,1217,1126,991,840,829,833,842,883,935,982,1053,1120,1186,1228
Nevada,Recreational goods and vehicles (USD/Capita),763,801,855,908,966,958,1029,1118,1228,1262,1224,1157,990,960,987,977,1042,1089,1077,1140,1208,1319,1442
Nevada,Other durable goods (USD/Capita),314,345,395,400,394,405,460,515,566,622,670,667,627,663,731,753,805,848,873,862,874,894,908
Nevada,Nondurable goods (USD/Capita),4973,4947,5342,5584,5698,5678,6002,6439,6857,7364,7488,7653,7066,7251,7682,7810,7983,8295,8321,8378,8683,8938,9140
Nevada,Food and beverages purchased for off-premises consumption (USD/Capita),2051,2007,2091,2141,2197,2165,2263,2404,2460,2611,2708,2751,2664,2631,2704,2745,2799,2935,3029,3067,3129,3196,3267
Nevada,Clothing and footwear (USD/Capita),658,700,773,756,756,750,804,871,939,979,992,997,936,1000,1077,1113,1135,1174,1176,1166,1135,1168,1191
Nevada,Gasoline and other energy goods (USD/Capita),567,494,558,658,616,568,657,787,977,1115,1104,1222,848,982,1189,1209,1208,1172,910,814,932,1019,944
Nevada,Other nondurable goods (USD/Capita),1695,1745,1919,2027,2128,2193,2276,2375,2480,2657,2683,2681,2616,2636,2710,2741,2840,3014,3205,3330,3484,3553,3736
Nevada,Services (USD/Capita),12536,13037,13890,14802,15209,15938,16557,17501,18788,20083,21221,21930,21972,22501,23249,23774,24296,25204,26086,26942,27710,28579,29029
Nevada,Household consumption expenditures (for services) (USD/Capita),12212,12757,13542,14463,14859,15547,16178,17139,18405,19484,20543,21175,21240,21722,22409,22837,23312,24201,25032,25785,26542,27368,27850
Nevada,Housing and utilities (USD/Capita),3937,4056,4125,4247,4509,4616,4656,4833,5121,5452,5691,5946,6329,6460,6591,6670,6735,6960,7207,7308,7419,7521,7713
Nevada,Health care (USD/Capita),2264,2362,2479,2615,2824,3115,3266,3514,3649,3771,4041,4200,4264,4308,4443,4481,4638,4876,5066,5314,5502,5681,5843
Nevada,Transportation services (USD/Capita),710,724,778,830,784,746,802,864,878,905,904,906,821,826,941,957,984,986,968,966,1014,1055,1065
Nevada,Recreation services (USD/Capita),752,768,838,913,903,910,983,1019,1100,1122,1170,1160,1108,1177,1256,1321,1319,1397,1431,1457,1454,1509,1529
Nevada,Food services and accommodations (USD/Capita),1182,1175,1260,1348,1279,1267,1337,1438,1577,1665,1708,1672,1529,1574,1654,1663,1720,1809,1855,1879,1903,1913,1906
Nevada,Financial services and insurance (USD/Capita),2061,2282,2592,2956,2927,3150,3328,3614,4069,4519,4957,5214,5169,5343,5483,5707,5877,6080,6326,6577,6834,7101,7099
Nevada,Other services (USD/Capita),1304,1388,1468,1551,1631,1740,1803,1856,2007,2048,2070,2074,2016,2030,2037,2034,2035,2090,2176,2282,2414,2585,2692
Nevada,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),323,279,347,339,349,391,379,362,382,598,677,754,731,779,840,936,984,1002,1054,1157,1168,1210,1179
Nevada,Gross output of nonprofit institutions (USD/Capita),1600,1631,1716,1694,1739,1846,1950,2012,2213,2449,2615,2795,2872,3007,3167,3358,3458,3622,3774,3968,4046,4291,4381
Nevada,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1276,1351,1368,1354,1389,1454,1571,1650,1830,1850,1937,2041,2140,2228,2327,2422,2474,2619,2720,2811,2878,3081,3202
New Hampshire,Personal income (millions of dollars),33274,36531,38959,43867,46193,47054,48040,50939,52878,56585,58631,60129,59082,61604,64589,67528,67320,70225,72874,75858,79253,83199,86344
New Hampshire,Population (persons) 1/,1189425,1205940,1222014,1239882,1255517,1269089,1279840,1290121,1298492,1308389,1312540,1315906,1316102,1316762,1320202,1324232,1326622,1333341,1336350,1342307,1348787,1353465,1359711
New Hampshire,Per capita personal income (dollars) 2/,27975,30293,31882,35380,36792,37077,37536,39484,40723,43248,44670,45694,44892,46785,48924,50995,50746,52669,54533,56513,58759,61471,63502
New Hampshire,Personal consumption expenditures (USD/Capita),23515,24804,26348,28072,29199,30289,32153,34142,36191,37834,39294,40472,40460,41423,42696,43545,44924,46228,47530,49047,50810,52895,54585
New Hampshire,Goods (USD/Capita),8806,9088,9815,10392,10716,10962,11628,12270,12845,13105,13291,13406,12662,13025,13580,13907,14542,14958,14745,14873,15496,16080,16514
New Hampshire,Durable goods (USD/Capita),2814,3065,3334,3468,3607,3784,4033,4199,4322,4269,4262,4041,3746,3867,3923,4105,4336,4524,4684,4833,4937,5134,5349
New Hampshire,Motor vehicles and parts (USD/Capita),1214,1324,1405,1416,1509,1578,1652,1583,1570,1474,1444,1275,1242,1313,1349,1429,1557,1674,1751,1794,1843,1903,1907
New Hampshire,Furnishings and durable household equipment (USD/Capita),559,605,657,707,731,798,895,963,966,967,916,874,794,818,827,856,889,924,977,1033,1060,1113,1184
New Hampshire,Recreational goods and vehicles (USD/Capita),574,641,732,792,824,842,874,976,1064,1059,1102,1105,962,955,947,977,1009,1010,1010,1053,1084,1151,1280
New Hampshire,Other durable goods (USD/Capita),466,494,539,552,542,564,610,676,720,767,798,785,747,779,798,842,880,914,944,951,948,965,976
New Hampshire,Nondurable goods (USD/Capita),5991,6023,6481,6923,7108,7177,7595,8070,8522,8835,9028,9364,8915,9158,9657,9801,10206,10433,10061,10040,10558,10945,11165
New Hampshire,Food and beverages purchased for off-premises consumption (USD/Capita),2260,2257,2387,2513,2606,2652,2729,2889,2928,3007,3091,3209,3299,3268,3402,3515,3596,3653,3662,3744,3890,3987,4091
New Hampshire,Clothing and footwear (USD/Capita),1255,1276,1354,1348,1335,1327,1344,1390,1400,1398,1331,1289,1218,1261,1236,1294,1334,1357,1361,1368,1378,1408,1424
New Hampshire,Gasoline and other energy goods (USD/Capita),745,663,707,901,923,879,1103,1238,1487,1651,1777,2012,1471,1658,1966,1889,1938,1936,1488,1241,1432,1610,1531
New Hampshire,Other nondurable goods (USD/Capita),1730,1824,2031,2159,2243,2317,2418,2551,2706,2777,2828,2853,2926,2969,3051,3102,3336,3485,3549,3685,3856,3939,4118
New Hampshire,Services (USD/Capita),14708,15715,16532,17680,18483,19327,20524,21872,23345,24728,26003,27066,27798,28397,29115,29637,30381,31269,32784,34173,35314,36815,38070
New Hampshire,Household consumption expenditures (for services) (USD/Capita),14050,14915,15688,16742,17435,18205,19308,20558,21926,23140,24386,25354,26073,26683,27347,27821,28501,29367,30855,32095,33158,34548,35748
New Hampshire,Housing and utilities (USD/Capita),4587,4797,5020,5239,5529,5689,5915,6214,6688,7080,7400,7712,7912,7954,8120,8230,8420,8700,9090,9307,9593,9905,10180
New Hampshire,Health care (USD/Capita),3055,3195,3317,3458,3712,4085,4463,4874,5286,5557,6029,6350,6794,7036,7192,7258,7348,7563,8026,8454,8648,8957,9379
New Hampshire,Transportation services (USD/Capita),794,855,939,1010,1025,997,1054,1098,1132,1174,1174,1204,1159,1167,1229,1235,1297,1349,1407,1463,1515,1582,1598
New Hampshire,Recreation services (USD/Capita),870,902,956,1048,1066,1110,1210,1340,1384,1471,1571,1575,1629,1691,1707,1773,1863,1889,1982,2067,2152,2248,2310
New Hampshire,Food services and accommodations (USD/Capita),1333,1404,1424,1538,1609,1673,1769,1894,1965,2046,2094,2106,2120,2180,2252,2325,2444,2553,2708,2821,2879,3013,3102
New Hampshire,Financial services and insurance (USD/Capita),1714,1888,2069,2286,2220,2273,2362,2508,2728,2921,3150,3322,3265,3363,3507,3582,3699,3792,3945,4018,4260,4526,4660
New Hampshire,Other services (USD/Capita),1695,1870,1960,2161,2271,2375,2533,2625,2741,2888,2965,3081,3191,3289,3337,3414,3426,3517,3694,3962,4109,4315,4516
New Hampshire,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),657,800,844,937,1048,1122,1215,1313,1419,1588,1616,1711,1725,1714,1768,1815,1880,1902,1928,2078,2155,2267,2322
New Hampshire,Gross output of nonprofit institutions (USD/Capita),2298,2547,2629,2788,3004,3224,3419,3712,3990,4275,4432,4588,4741,4830,4956,5064,5194,5348,5539,5908,6114,6378,6651
New Hampshire,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),1641,1747,1784,1850,1956,2102,2204,2398,2570,2687,2815,2876,3016,3115,3187,3248,3314,3446,3611,3830,3959,4111,4329
New Jersey,Personal income (millions of dollars),269605,287244,300854,330957,342304,347456,356314,373078,387392,415890,440165,453018,439087,452466,474015,491662,496464,520079,542298,557461,577407,602870,625937
New Jersey,Population (persons) 1/,8218808,8287418,8359592,8430621,8492671,8552643,8601402,8634561,8651974,8661679,8677885,8711090,8755602,8799446,8828117,8844942,8856972,8864525,8867949,8870827,8885525,8886025,8882190
New Jersey,Per capita personal income (dollars) 2/,32804,34660,35989,39257,40306,40626,41425,43208,44775,48015,50723,52005,50149,51420,53694,55587,56054,58670,61153,62842,64983,67845,70471
New Jersey,Personal consumption expenditures (USD/Capita),24305,25581,26877,28730,30207,31718,33395,35111,37104,39149,40504,41231,40509,41275,42447,43556,44624,46052,47416,48715,50096,52232,54215
New Jersey,Goods (USD/Capita),8230,8489,9098,9685,10184,10694,11248,11678,12270,12798,13055,12812,12065,12429,12927,13152,13388,13706,13857,13959,14310,14812,15410
New Jersey,Durable goods (USD/Capita),2862,3085,3378,3614,3810,4130,4350,4453,4567,4735,4694,4348,4000,4120,4212,4287,4405,4484,4613,4673,4761,4944,5106
New Jersey,Motor vehicles and parts (USD/Capita),1020,1086,1169,1231,1320,1416,1434,1454,1406,1336,1359,1183,1114,1234,1321,1405,1472,1510,1572,1575,1591,1648,1651
New Jersey,Furnishings and durable household equipment (USD/Capita),662,716,803,877,917,953,1083,1065,1140,1254,1153,1078,959,963,960,960,992,1013,1058,1117,1176,1238,1296
New Jersey,Recreational goods and vehicles (USD/Capita),695,764,829,876,928,1045,1086,1156,1224,1310,1322,1253,1135,1120,1107,1092,1112,1115,1116,1122,1131,1162,1220
New Jersey,Other durable goods (USD/Capita),483,518,575,628,644,716,745,776,795,834,859,833,790,801,823,829,827,845,866,858,862,895,937
New Jersey,Nondurable goods (USD/Capita),5368,5403,5719,6070,6373,6563,6898,7225,7703,8062,8361,8463,8064,8309,8715,8865,8983,9221,9243,9285,9548,9867,10304
New Jersey,Food and beverages purchased for off-premises consumption (USD/Capita),1891,1874,1948,2021,2209,2330,2422,2542,2639,2723,2836,2912,2867,2915,2988,3014,3053,3102,3152,3167,3249,3321,3442
New Jersey,Clothing and footwear (USD/Capita),1255,1257,1314,1358,1313,1327,1336,1353,1394,1426,1457,1401,1326,1360,1394,1458,1470,1496,1523,1535,1532,1560,1593
New Jersey,Gasoline and other energy goods (USD/Capita),479,407,425,510,504,457,555,663,820,948,1046,1154,850,971,1210,1237,1218,1165,902,776,840,899,866
New Jersey,Other nondurable goods (USD/Capita),1742,1864,2031,2181,2345,2448,2582,2665,2847,2965,3020,2995,3020,3061,3121,3155,3240,3455,3665,3806,3926,4086,4401
New Jersey,Services (USD/Capita),16074,17092,17779,19045,20022,21023,22147,23432,24834,26350,27448,28418,28444,28846,29519,30403,31235,32346,33558,34756,35786,37419,38805
New Jersey,Household consumption expenditures (for services) (USD/Capita),15319,16232,16871,18017,18894,19771,20751,21954,23207,24552,25597,26314,26307,26629,27195,27926,28672,29715,30931,31968,32940,34404,35764
New Jersey,Housing and utilities (USD/Capita),4946,5147,5417,5641,6001,6212,6478,6851,7287,7784,8170,8496,8633,8670,8800,8909,9089,9371,9751,10100,10419,10828,11214
New Jersey,Health care (USD/Capita),3129,3316,3314,3533,3756,4104,4327,4598,4840,5042,5275,5472,5759,5806,5888,6186,6311,6530,6920,7240,7457,7776,8229
New Jersey,Transportation services (USD/Capita),1207,1299,1347,1440,1460,1433,1457,1490,1537,1607,1597,1577,1513,1497,1612,1649,1756,1831,1866,1921,1962,2045,2068
New Jersey,Recreation services (USD/Capita),904,940,995,1051,1133,1232,1294,1364,1440,1549,1666,1763,1750,1782,1815,1899,1968,1987,2015,2067,2076,2143,2184
New Jersey,Food services and accommodations (USD/Capita),1255,1286,1319,1382,1430,1492,1587,1678,1767,1886,1929,1954,1897,1938,1972,2041,2151,2261,2357,2443,2553,2713,2777
New Jersey,Financial services and insurance (USD/Capita),1752,1935,2118,2377,2264,2262,2332,2515,2683,2781,2874,2887,2612,2718,2833,2837,2957,3104,3238,3208,3336,3466,3627
New Jersey,Other services (USD/Capita),2122,2305,2358,2591,2847,3032,3273,3455,3650,3901,4082,4161,4141,4215,4272,4400,4437,4629,4780,4987,5134,5432,5663
New Jersey,Final consumption expenditures of nonprofit institutions serving households (NPISHs) (USD/Capita),754,860,907,1027,1128,1252,1395,1477,1626,1798,1851,2103,2136,2217,2324,2477,2563,2631,2627,2787,2845,3015,3040
New Jersey,Gross output of nonprofit institutions (USD/Capita),2861,3063,3174,3403,3650,3987,4291,4627,4976,5310,5469,5750,5894,6043,6167,6384,6567,6766,6968,7346,7495,7892,8183
New Jersey,Less: Receipts from sales of goods and services by nonprofit institutions (USD/Capita),2106,2202,2266,2376,2521,2734,2895,3149,3349,3512,3618,3647,3757,3826,3843,3906,4004,4134,4340,4558,4650,4877,5143
New Mexico,Personal income (millions of dollars),36520,38361,39275,42319,45312,47090,49197,52264,55838,59946,63418,67242,66661,69250,72820,74578,73437,77747,80061,81626,83141,87204,90846
New Mexico,Population (persons) 1/,1774839,1793484,1808082,1821204,1831690,1855309,1877574,1903808,1932274,1962137,1990070,2010662,2036802,2064552,2080450,2087309,2092273,2089568,2089291,2091630,2091784,2092741,2096829
New Mexico,Per capita personal income (dollars) 2/,20576,21389,21722,23237,24738,25381,26203,27453,28898,30552,31867,33443,32729,33542,35002,35729,35100,37207,38320,39025,39747,41670,43326
New Mexico,Personal consumption expenditures (USD/Capita),17350,18097,19124,20029,20714,21343,22313,23769,25155,26419,27454,28406,27875,28443,29443,30230,30804,32076,33062,33880,34843,36392,37157
New Mexico,Goods (USD/Capita),6626,6830,7325,7666,7797,7976,8355,8969,9428,9931,10379,10516,9681,9837,10300,10528,10676,11015,11093,11072,11321,11878,11861
New Mexico,Durable goods (USD/Capita),2495,2628,2821,2899,2983,3108,3176,3421,3514,3571,3712,3500,3144,3134,3190,3334,3466,3618,3784,3821,3906,4096,4141
New Mexico,Motor vehicles and parts (USD/Capita),1028,1101,1176,1197,1280,1349,1321,1368,1391,1344,1376,1179,1025,1071,1131,1231,1299,1365,1455,1464,1487,1555,1516
New Mexico,Furnishings and durable household equipment (USD/Capita),569,595,630,655,650,667,697,751,775,804,830,776,669,653,656,683,702,731,754,770,801,847,881
New Mexico,Recreational goods and vehicles (USD/Capita),520,540,598,611,623,643,676,775,817,845,882,915,827,779,762,766,795,823,852,867,893,944,997
New Mexico,Other durable goods (USD/Capita),376,391,417,435,429,449,482,527,530,576,622,628,622,629,640,652,668,697,722,719,723,748,745
New Mexico,Nondurable goods (USD/Capita),4131,4202,4503,4766,4814,4867,5178,5547,5913,6359,6667,7015,6537,6702,7110,7194,7210,7397,7309,7250,7414,7782,7720
New Mexico,Food and beverages purchased for off-premises consumption (USD/Capita),1610,1652,1733,1765,1787,1773,1861,1952,2070,2213,2343,2442,2438,2422,2513,2554,2596,2703,2806,2837,2876,2936,2969
New Mexico,Clothing and footwear (USD/Capita),655,660,696,687,704,727,760,787,758,778,791,778,763,766,767,788,791,808,815,833,837,856,861
New Mexico,Gasoline and other energy goods (USD/Capita),628,571,634,806,761,746,862,1018,1237,1391,1476,1731,1254,1407,1692,1690,1655,1586,1298,1121,1196,1392,1223
New Mexico,Other nondurable goods (USD/Capita),1237,1318,1438,1507,1560,1619,1694,1789,1846,1976,2055,2064,2080,2105,2136,2161,2167,2299,2388,2458,2503,2596,2666
New Mexico,Services (USD/Capita),10723,11266,11798,12362,12916,13367,13957,14799,15727,16488,17074,17890,18193,18606,19142,19702,20127,21061,21968,22807,23522,24513,25295
New Mexico,Household consumption expenditures (for services) (USD/Capita),10379,10815,11294,11816,12329,12766,13310,14161,15026,15707,16328,17055,17339,17742,18226,18726,19132,20044,20934,21701,22356,23301,24078
New Mexico,Housing and utilities (USD/Capita),3024,3140,3262,3450,3678,3738,3862,4062,4303,4489,4598,4755,4777,4793,4921,5078,5262,5493,5755,5936,6178,6408,6590
New Mexico,Health care (USD/Capita),2474,2513,2571,2620,2783,3005,3113,3539,3849,3895,4086,4417,4749,4918,5074,5242,5249,5532,5826,6160,6228,6504,6824
New Mexico,Transportation services (USD/Capita),615,651,679,729,757,751,761,767,802,814,848,869,791,809,846,867,892,894,899,922,954,998,1020
New Mexico,Recreation services (USD/Capita),735,810,844,805,817,839,898,939,967,1044,1146,1221,1257,1265,1252,1317,1331,1360,1409,1435,1439,1464,1506
New Mexico,Food services and accommodations (USD/Capita),1242,1265,1304,1389,1423,1499,1580,1666,1753,1875,1939,2002,2010,2037,2084,2151,2233,2380,2500,2576,2657,2784,2866
New Mexico,Financial services and insurance (USD/Capita),1123,1205,1297,1424,1380,1406,1473,1540,1665,1749,1823,1862,1809,1972,2090,2117,2207,2357,2445,2515,2642,2749,2791
New Mexico,Other services (USD/Capita),1162,1228,1335,1397,1488,1525,1620,1643,1682,1837,1885,1927,1943,1946,1957,1952,1955,2025,2097,2154,2255,2392,2477
